"Year,Primary Enrollment,GDP"
"2001,9751434.0,404.807861229282"
"2002,9336913.0,430.052872413573"
"2003,8841004.0,480.579834256949"
"2004,8350191.0,546.909619010829"
"2005,7773484.0,687.479727391611"
"2006,7317813.0,784.372375930354"
"2007,7041312.0,906.284229938514"
"2008,6871795.0,1149.42449524183"
"2009,6745016.0,1217.26858325766"
"2010,6922624.0,1673.3292888042"
"2011,7048493.0,1942.08701034555"
"2012,7100950.0,2178.0431710646"
"2013,7202767.0,2354.87411736109"
"2014,7434848.0,2545.41676778941"
"2015,7543632.0,2581.62244157361"
"2016,7790009.0,2745.56558793783"
"2017,7801560.0,2974.11722851858"
"2018,8041842.0,3230.92771257461"
"2019,8506562.0,3425.08925344793"
"2020,8718356.0,3526.27457939624"
